time,atemp,dtemp,windspd,solrad
67200,25,22,1.3,10
67800,25,22,1.2,10
68400,25,22,1.6,10
69000,25,22,0.6,10
69600,25,22,0.2,10
70200,25,22,0.4,10
70800,25,22,0.3,10
71400,25,22,0.2,10
72000,25,22,1.4,10
72600,25,22,0.4,10
73200,25,22,0.7,10
73800,25,22,0.5,10
74400,25,22,1.2,10
75000,25,22,1.3,10
75600,25,22,1.2,10
76200,25,22,0.9,10
76800,25,22,2.8,10
77400,25,22,4,10
78000,25,22,3.9,10
78600,25,22,4.9,10
79200,25,22,4.6,10
79800,25,22,4.2,10
80400,25,22,5.7,10
81000,25,22,4.8,10
81600,25,22,3,10
82200,25,22,3.2,10
82800,25,22,3.4,10
83400,25,22,1.7,10
84000,25,22,1.4,10
84600,25,22,1.2,10
85200,25,22,1.3,10
85800,25,22,0.7,10
86400,25,22,1.7,10
87000,25,22,1.5,10
87600,25,22,0.9,10
88200,25,22,0.6,10
88800,25,22,1,10
89400,25,22,0.3,10
90000,25,22,1.4,10
90600,25,22,0.9,10
91200,25,22,1.1,10
91800,25,22,0.8,10
92400,25,22,0.9,10
93000,25,22,0.9,10
93600,25,22,2.1,10
94200,25,22,2,10
94800,25,22,3.2,10
95400,25,22,1.3,10
96000,25,22,2.6,10
96600,25,22,1.8,10
97200,25,22,0.8,10
97800,25,22,0.7,10
98400,25,22,0.9,10
99000,25,22,0.7,10
99600,25,22,0.2,10
100200,25,22,0.4,10
100800,25,22,0.3,10
101400,25,22,0.8,10
102000,25,22,0.4,10
102600,25,22,0.2,10
103200,25,22,0.4,10
103800,25,22,0.8,10
104400,25,22,0.6,10
105000,25,22,0.4,10
105600,25,22,0.9,10
106200,25,22,0.7,10
106800,25,22,4,10
107400,25,22,2.3,10
108000,25,22,4.6,10
108600,25,22,3.4,10
109200,25,22,3.8,10
109800,25,22,3.8,10
110400,25,22,3.2,10
111000,25,22,2.5,10
111600,25,22,2.9,10
112200,25,22,2,10
112800,25,22,1.9,10
113400,25,22,0.7,10
114000,25,22,0.4,10
114600,25,22,0.7,10
115200,25,22,1.5,10
115800,25,22,1.3,10
116400,25,22,0.5,10
117000,25,22,0.5,10
117600,25,22,0.6,10
118200,25,22,0.9,10
118800,25,22,0.7,10
119400,25,22,0.8,10
120000,25,22,0.4,10
120600,25,22,0.3,10
121200,25,22,1,10
121800,25,22,0.8,10
122400,25,22,1.3,10
123000,25,22,2.3,10
123600,25,22,2.2,10
124200,25,22,2.1,10
124800,25,22,1.2,10
125400,25,22,1.1,10
126000,25,22,1,10
126600,25,22,0.2,10
127200,25,22,0.6,10
127800,25,22,1.1,10
128400,25,22,0.2,10
129000,25,22,0.3,10
129600,25,22,0.6,10
130200,25,22,0.9,10
130800,25,22,1,10
131400,25,22,1,10
132000,25,22,1.4,10
132600,25,22,1.1,10
133200,25,22,1.8,10
133800,25,22,0.8,10
134400,25,22,0.4,10
135000,25,22,0.1,10
135600,25,22,1.1,10
136200,25,22,1.4,10
136800,25,22,1.5,10
137400,25,22,1.9,10
138000,25,22,2,10
138600,25,22,1.2,10
139200,25,22,2.1,10
139800,25,22,2.2,10
140400,25,22,1.5,10
141000,25,22,1.9,10
141600,25,22,2.2,10
142200,25,22,3.9,10
142800,25,22,2.3,10
143400,25,22,2.5,10
144000,25,22,4.6,10
144600,25,22,3.4,10
145200,25,22,3.2,10
145800,25,22,4.6,10
146400,25,22,5.8,10
147000,25,22,5.3,10
147600,25,22,5,10
148200,25,22,5.4,10
148800,25,22,5.3,10
149400,25,22,7.3,10
150000,25,22,6.9,10
150600,25,22,6.7,10
151200,25,22,5.6,10
151800,25,22,5.6,10
152400,25,22,5.8,10
153000,25,22,5.2,10
153600,25,22,6.1,10
154200,25,22,4.4,10
154800,25,22,5.3,10
155400,25,22,5.1,10
156000,25,22,4.1,10
156600,25,22,3.7,10
157200,25,22,3.7,10
157800,25,22,4.1,10
158400,25,22,4.3,10
159000,25,22,3,10
159600,25,22,2.9,10
160200,25,22,4.1,10
160800,25,22,3.7,10
161400,25,22,4.3,10
162000,25,22,2.8,10
162600,25,22,2,10
163200,25,22,3.2,10
163800,25,22,3.3,10
164400,25,22,3.9,10
165000,25,22,4.4,10
165600,25,22,4,10
166200,25,22,4.8,10
166800,25,22,4.2,10
167400,25,22,4,10
168000,25,22,3.3,10
168600,25,22,2.6,10
169200,25,22,2,10
169800,25,22,3.9,10
170400,25,22,3.3,10
171000,25,22,4.3,10
171600,25,22,5.7,10
172200,25,22,5.7,10
172800,25,22,4.5,10
173400,25,22,3.9,10
174000,25,22,2.1,10
174600,25,22,4.9,10
175200,25,22,3.9,10
175800,25,22,4.1,10
176400,25,22,2.6,10
177000,25,22,2,10
177600,25,22,4.6,10
178200,25,22,4.6,10
178800,25,22,6.3,10
179400,25,22,6.3,10
180000,25,22,7.8,10
180600,25,22,6.6,10
181200,25,22,9.2,10
181800,25,22,8.2,10
182400,25,22,5.7,10
183000,25,22,7.7,10
183600,25,22,6.5,10
184200,25,22,4.1,10
184800,25,22,4.5,10
185400,25,22,4,10
186000,25,22,4.5,10
186600,25,22,2.2,10
187200,25,22,2.8,10
187800,25,22,4,10
188400,25,22,3.6,10
189000,25,22,3.9,10
189600,25,22,3.7,10
190200,25,22,2.8,10
190800,25,22,2.8,10
191400,25,22,2.6,10
192000,25,22,2.7,10
192600,25,22,3.2,10
193200,25,22,4.1,10
193800,25,22,2.9,10
194400,25,22,4,10
195000,25,22,4.5,10
195600,25,22,3.5,10
196200,25,22,3.1,10
196800,25,22,2.6,10
197400,25,22,1.4,10
198000,25,22,1.1,10
198600,25,22,0.9,10
199200,25,22,1.1,10
199800,25,22,0.5,10
200400,25,22,0.5,10
201000,25,22,0.3,10
201600,25,22,0.5,10
202200,25,22,0.3,10
202800,25,22,0.7,10
203400,25,22,0.1,10
204000,25,22,0,10
204600,25,22,0.6,10
205200,25,22,0.7,10
205800,25,22,0.6,10
206400,25,22,0.7,10
207000,25,22,1.3,10
207600,25,22,2.9,10
208200,25,22,1.9,10
208800,25,22,2.5,10
209400,25,22,3.2,10
210000,25,22,3.1,10
210600,25,22,3.2,10
211200,25,22,2,10
211800,25,22,2.1,10
212400,25,22,1.4,10
213000,25,22,1,10
213600,25,22,0.5,10
214200,25,22,0.5,10
214800,25,22,0.9,10
215400,25,22,0.7,10
216000,25,22,0.5,10
216600,25,22,0.2,10
217200,25,22,0.4,10
217800,25,22,0.8,10
218400,25,22,0.7,10
219000,25,22,0.3,10
219600,25,22,0.9,10
220200,25,22,3,10
220800,25,22,1.5,10
221400,25,22,3.4,10
222000,25,22,3.1,10
222600,25,22,6.5,10
223200,25,22,6.6,10
223800,25,22,4.6,10
224400,25,22,5.9,10
225000,25,22,4.9,10
225600,25,22,4.4,10
226200,25,22,3.5,10
226800,25,22,3.5,10
227400,25,22,2.6,10
228000,25,22,4,10
228600,25,22,1.9,10
229200,25,22,2.6,10
229800,25,22,3.2,10
230400,25,22,2.4,10
231000,25,22,4.1,10
231600,25,22,3,10
232200,25,22,3.1,10
232800,25,22,2.6,10
233400,25,22,2.2,10
234000,25,22,2.7,10
234600,25,22,2.8,10
235200,25,22,3.5,10
235800,25,22,3,10
236400,25,22,4.7,10
237000,25,22,5.3,10
237600,25,22,4.9,10
238200,25,22,5.4,10
238800,25,22,4.2,10
239400,25,22,5.6,10
240000,25,22,5,10
240600,25,22,6.1,10
241200,25,22,5,10
241800,25,22,4.2,10
242400,25,22,4.4,10
243000,25,22,4.5,10
243600,25,22,4.7,10
244200,25,22,3.5,10
244800,25,22,4.5,10
245400,25,22,3.3,10
246000,25,22,4.4,10
246600,25,22,4.3,10
247200,25,22,3.2,10
247800,25,22,3.4,10
248400,25,22,3.3,10
249000,25,22,2.4,10
249600,25,22,3.3,10
250200,25,22,3.4,10
250800,25,22,3.5,10
251400,25,22,3.9,10
252000,25,22,4.3,10
252600,25,22,3.7,10
253200,25,22,3.7,10
253800,25,22,2.7,10
254400,25,22,2.2,10
255000,25,22,2.2,10
255600,25,22,1.1,10
256200,25,22,1.1,10
256800,25,22,1.6,10
257400,25,22,1.2,10
258000,25,22,1,10
258600,25,22,1.3,10
259200,25,22,0.5,10
259800,25,22,1.4,10
260400,25,22,0.3,10
261000,25,22,0.7,10
261600,25,22,1.1,10
262200,25,22,1.4,10
262800,25,22,0.5,10
263400,25,22,0.6,10
264000,25,22,0.5,10
264600,25,22,0.9,10
265200,25,22,0.9,10
265800,25,22,1.4,10
266400,25,22,1.7,10
267000,25,22,3.1,10
267600,25,22,2.5,10
268200,25,22,1.9,10
268800,25,22,5,10
269400,25,22,4.1,10
270000,25,22,4.8,10
270600,25,22,4.4,10
271200,25,22,4,10
271800,25,22,4.1,10
272400,25,22,4.9,10
273000,25,22,5.3,10
273600,25,22,2.3,10
274200,25,22,4.1,10
274800,25,22,3.5,10
275400,25,22,3.5,10
276000,25,22,2.9,10
276600,25,22,2.5,10
277200,25,22,2.4,10
277800,25,22,1.5,10
278400,25,22,2.1,10
279000,25,22,1.5,10
279600,25,22,2.2,10
280200,25,22,2,10
280800,25,22,1.9,10
281400,25,22,2.4,10
282000,25,22,2.3,10
282600,25,22,1.9,10
283200,25,22,2,10
283800,25,22,2.6,10
284400,25,22,0.7,10
285000,25,22,1.5,10
285600,25,22,0.3,10
286200,25,22,0.2,10
286800,25,22,0.2,10
287400,25,22,0.7,10
288000,25,22,0.1,10
288600,25,22,0.1,10
289200,25,22,1.6,10
289800,25,22,0.6,10
290400,25,22,1.7,10
291000,25,22,1.8,10
291600,25,22,1.6,10
292200,25,22,0.9,10
292800,25,22,0.9,10
293400,25,22,0.8,10
294000,25,22,0.8,10
294600,25,22,1.1,10
295200,25,22,1,10
295800,25,22,1.2,10
296400,25,22,1.9,10
297000,25,22,1,10
297600,25,22,0.5,10
298200,25,22,0.9,10
298800,25,22,1.4,10
299400,25,22,0.3,10
300000,25,22,0.3,10
300600,25,22,1.3,10
301200,25,22,1.6,10
301800,25,22,0.4,10
302400,25,22,0.9,10
303000,25,22,0.7,10
303600,25,22,0.8,10
304200,25,22,1.1,10
304800,25,22,1,10
305400,25,22,2.3,10
306000,25,22,1.2,10
306600,25,22,0.8,10
307200,25,22,1.4,10
307800,25,22,1,10
308400,25,22,1,10
309000,25,22,1.3,10
309600,25,22,1.7,10
310200,25,22,1.7,10
310800,25,22,1.5,10
311400,25,22,1.8,10
312000,25,22,1.7,10
312600,25,22,0.8,10
313200,25,22,0.7,10
313800,25,22,0.6,10
314400,25,22,0.2,10
315000,25,22,0.7,10
315600,25,22,0.4,10
316200,25,22,1.2,10
316800,25,22,0.5,10
317400,25,22,0.2,10
318000,25,22,1,10
318600,25,22,2.1,10
319200,25,22,1.3,10
319800,25,22,0.1,10
320400,25,22,1.4,10
321000,25,22,1.2,10
321600,25,22,0.8,10
322200,25,22,0.2,10
322800,25,22,0.3,10
323400,25,22,0.6,10
324000,25,22,1.5,10
324600,25,22,1.5,10
325200,25,22,0.7,10
325800,25,22,1.4,10
326400,25,22,1.1,10
327000,25,22,0.9,10
327600,25,22,2.9,10
328200,25,22,3.5,10
328800,25,22,3.5,10
329400,25,22,4.5,10
330000,25,22,3.2,10
330600,25,22,2.8,10
331200,25,22,3,10
331800,25,22,2.3,10
332400,25,22,2.9,10
333000,25,22,3.6,10
333600,25,22,3.1,10
334200,25,22,2.5,10
334800,25,22,2.8,10
335400,25,22,2.9,10
336000,25,22,2,10
336600,25,22,3.5,10
337200,25,22,4.9,10
337800,25,22,5,10
338400,25,22,4.4,10
339000,25,22,4.9,10
339600,25,22,3.1,10
340200,25,22,1.7,10
340800,25,22,2.2,10
341400,25,22,2.5,10
342000,25,22,1.9,10
342600,25,22,1.6,10
343200,25,22,1.7,10
343800,25,22,0.8,10
344400,25,22,0.4,10
345000,25,22,0.7,10
345600,25,22,0.7,10
346200,25,22,1.2,10
346800,25,22,0.9,10
347400,25,22,0.3,10
348000,25,22,1,10
348600,25,22,1.7,10
349200,25,22,1.5,10
349800,25,22,0.6,10
350400,25,22,0.6,10
351000,25,22,0.3,10
351600,25,22,1,10
352200,25,22,1.3,10
352800,25,22,2.1,10
353400,25,22,1.5,10
354000,25,22,1.5,10
354600,25,22,1.4,10
355200,25,22,1.1,10
355800,25,22,1.4,10
356400,25,22,1.9,10
357000,25,22,1,10
357600,25,22,2.6,10
358200,25,22,1.9,10
358800,25,22,1.5,10
359400,25,22,2.6,10
360000,25,22,2.2,10
360600,25,22,2.7,10
361200,25,22,2.9,10
361800,25,22,2.9,10
362400,25,22,3.8,10
363000,25,22,2.7,10
363600,25,22,3.2,10
364200,25,22,3.4,10
364800,25,22,2.6,10
365400,25,22,2.6,10
366000,25,22,3.6,10
366600,25,22,4.4,10
367200,25,22,4,10
367800,25,22,2.9,10
368400,25,22,3.2,10
369000,25,22,3.5,10
369600,25,22,3.1,10
370200,25,22,2.6,10
370800,25,22,1,10
371400,25,22,0.3,10
372000,25,22,0.5,10
372600,25,22,0.8,10
373200,25,22,0.5,10
373800,25,22,0.3,10
374400,25,22,0.8,10
375000,25,22,0.8,10
375600,25,22,0.6,10
376200,25,22,0.6,10
376800,25,22,0.7,10
377400,25,22,0.6,10
378000,25,22,0.9,10
378600,25,22,1.5,10
379200,25,22,1.4,10
379800,25,22,0.8,10
380400,25,22,2,10
381000,25,22,1.7,10
381600,25,22,2.1,10
382200,25,22,2.5,10
382800,25,22,4.1,10
383400,25,22,3.9,10
384000,25,22,1.7,10
384600,25,22,3.3,10
385200,25,22,3,10
385800,25,22,2.6,10
386400,25,22,3.1,10
387000,25,22,2.5,10
387600,25,22,1.7,10
388200,25,22,2,10
388800,25,22,2.9,10
389400,25,22,2.8,10
390000,25,22,2.5,10
390600,25,22,1.7,10
391200,25,22,1.8,10
391800,25,22,3.5,10
392400,25,22,3.8,10
393000,25,22,3.3,10
393600,25,22,5.2,10
394200,25,22,2.9,10
394800,25,22,3.2,10
395400,25,22,4,10
396000,25,22,4.8,10
396600,25,22,4,10
397200,25,22,4.1,10
397800,25,22,4.4,10
398400,25,22,4.2,10
399000,25,22,3.2,10
399600,25,22,1.7,10
400200,25,22,1.3,10
400800,25,22,2.6,10
401400,25,22,2,10
402000,25,22,3.1,10
402600,25,22,2.7,10
403200,25,22,3.9,10
403800,25,22,2.6,10
404400,25,22,2.9,10
405000,25,22,2.4,10
405600,25,22,3.7,10
406200,25,22,4.4,10
406800,25,22,4.1,10
407400,25,22,3.4,10
408000,25,22,2.8,10
408600,25,22,3.5,10
409200,25,22,3.7,10
409800,25,22,3.7,10
410400,25,22,4.8,10
411000,25,22,5.3,10
411600,25,22,3.4,10
412200,25,22,4.1,10
412800,25,22,3.1,10
413400,25,22,3.9,10
414000,25,22,3.8,10
414600,25,22,3.7,10
415200,25,22,1.9,10
415800,25,22,2,10
416400,25,22,3.4,10
417000,25,22,2.1,10
417600,25,22,2.1,10
418200,25,22,3.4,10
418800,25,22,3.5,10
419400,25,22,3.3,10
420000,25,22,3,10
420600,25,22,0.5,10
421200,25,22,0.8,10
421800,25,22,0.7,10
422400,25,22,0.6,10
423000,25,22,2.6,10
423600,25,22,2.1,10
424200,25,22,2.5,10
424800,25,22,2.8,10
425400,25,22,3.6,10
426000,25,22,3.1,10
426600,25,22,3.2,10
427200,25,22,3,10
427800,25,22,3.6,10
428400,25,22,3.9,10
429000,25,22,1.6,10
429600,25,22,2.2,10
430200,25,22,1.4,10
430800,25,22,4.8,10
431400,25,22,3.5,10
432000,25,22,3.2,10
432600,25,22,3.1,10
433200,25,22,3.1,10
433800,25,22,3.5,10
434400,25,22,2.3,10
435000,25,22,1.6,10
435600,25,22,1.3,10
436200,25,22,0.3,10
436800,25,22,0.4,10
437400,25,22,2.5,10
438000,25,22,3.1,10
438600,25,22,4.1,10
439200,25,22,2.9,10
439800,25,22,4.1,10
440400,25,22,3.7,10
441000,25,22,3.3,10
441600,25,22,1.8,10
442200,25,22,1.5,10
442800,25,22,0.9,10
443400,25,22,0.2,10
444000,25,22,1.2,10
444600,25,22,0.6,10
445200,25,22,0.8,10
445800,25,22,0.8,10
446400,25,22,1.1,10
447000,25,22,0.8,10
447600,25,22,1.8,10
448200,25,22,2.8,10
448800,25,22,2.2,10
449400,25,22,1.5,10
450000,25,22,2.2,10
450600,25,22,1.9,10
451200,25,22,3.3,10
451800,25,22,6.5,10
452400,25,22,6.7,10
453000,25,22,7.4,10
453600,25,22,7.9,10
454200,25,22,6.8,10
454800,25,22,6.2,10
455400,25,22,4.4,10
456000,25,22,4.8,10
456600,25,22,4.9,10
457200,25,22,5.6,10
457800,25,22,3.4,10
458400,25,22,2.7,10
459000,25,22,3.1,10
459600,25,22,3.2,10
460200,25,22,2.9,10
460800,25,22,1.3,10
461400,25,22,3.2,10
462000,25,22,2.7,10
462600,25,22,3.6,10
463200,25,22,2.8,10
463800,25,22,2.4,10
464400,25,22,2.3,10
465000,25,22,1.7,10
465600,25,22,3.2,10
466200,25,22,3.1,10
466800,25,22,3.7,10
467400,25,22,4.5,10
468000,25,22,3.6,10
468600,25,22,4.5,10
469200,25,22,4.7,10
469800,25,22,4.6,10
470400,25,22,4.2,10
471000,25,22,3.9,10
471600,25,22,3.2,10
472200,25,22,2.7,10
472800,25,22,3.1,10
473400,25,22,3.7,10
474000,25,22,3.1,10
474600,25,22,3.9,10
475200,25,22,3.4,10
475800,25,22,2.7,10
476400,25,22,2.1,10
477000,25,22,0.7,10
477600,25,22,0.6,10
478200,25,22,0.4,10
478800,25,22,0.2,10
479400,25,22,0.8,10
480000,25,22,3.5,10
480600,25,22,4.5,10
481200,25,22,3.6,10
481800,25,22,3.4,10
482400,25,22,3.6,10
483000,25,22,4.9,10
483600,25,22,4,10
484200,25,22,3.7,10
484800,25,22,3.4,10
485400,25,22,3.8,10
486000,25,22,3.2,10
486600,25,22,2.3,10
487200,25,22,1.8,10
487800,25,22,1.8,10
488400,25,22,3.5,10
489000,25,22,4.7,10
489600,25,22,4.5,10
490200,25,22,4.3,10
490800,25,22,3.7,10
491400,25,22,3.8,10
492000,25,22,3.7,10
492600,25,22,2.6,10
493200,25,22,2.4,10
493800,25,22,3,10
494400,25,22,3.6,10
495000,25,22,3.6,10
495600,25,22,4.6,10
496200,25,22,5.6,10
496800,25,22,5.3,10
497400,25,22,4.2,10
498000,25,22,5.4,10
498600,25,22,5.4,10
499200,25,22,7.1,10
499800,25,22,4.5,10
500400,25,22,4.5,10
501000,25,22,4.9,10
501600,25,22,5,10
502200,25,22,5.3,10
502800,25,22,6.2,10
503400,25,22,7.5,10
504000,25,22,7.6,10
504600,25,22,5.7,10
505200,25,22,3.3,10
505800,25,22,5,10
506400,25,22,4.6,10
507000,25,22,3.3,10
507600,25,22,2.9,10
508200,25,22,4.4,10
508800,25,22,5.6,10
509400,25,22,5.7,10
510000,25,22,6.8,10
510600,25,22,5.3,10
511200,25,22,6.8,10
511800,25,22,6.7,10
512400,25,22,6.3,10
513000,25,22,6.8,10
513600,25,22,5.5,10
514200,25,22,6.5,10
514800,25,22,6.4,10
515400,25,22,5.4,10
516000,25,22,6.2,10
516600,25,22,6.2,10
517200,25,22,4.2,10
517800,25,22,6.1,10
518400,25,22,5.9,10
519000,25,22,5.1,10
519600,25,22,5.1,10
520200,25,22,5.2,10
520800,25,22,3.9,10
521400,25,22,4.9,10
522000,25,22,4,10
522600,25,22,3.3,10
523200,25,22,3.3,10
523800,25,22,3.7,10
524400,25,22,3.9,10
525000,25,22,4.4,10
525600,25,22,7.9,10
526200,25,22,9.1,10
526800,25,22,7.1,10
527400,25,22,5.3,10
528000,25,22,5.8,10
528600,25,22,3.6,10
529200,25,22,3,10
529800,25,22,3.4,10
530400,25,22,2.3,10
531000,25,22,2.9,10
531600,25,22,2.7,10
532200,25,22,2.5,10
532800,25,22,3.4,10
533400,25,22,3.6,10
534000,25,22,3.5,10
534600,25,22,2.9,10
535200,25,22,2.5,10
535800,25,22,3.9,10
536400,25,22,3.8,10
537000,25,22,2.3,10
537600,25,22,3.5,10
538200,25,22,3.8,10
538800,25,22,4.4,10
539400,25,22,3.3,10
540000,25,22,3.6,10
540600,25,22,2.6,10
541200,25,22,3.2,10
541800,25,22,3.2,10
542400,25,22,2.9,10
543000,25,22,1.7,10
543600,25,22,2.2,10
544200,25,22,2.3,10
544800,25,22,3,10
545400,25,22,2.6,10
546000,25,22,2.7,10
546600,25,22,2.2,10
547200,25,22,2.3,10
547800,25,22,2.4,10
548400,25,22,3.9,10
549000,25,22,2.9,10
549600,25,22,2.6,10
550200,25,22,2.1,10
550800,25,22,0.7,10
551400,25,22,0.9,10
552000,25,22,1,10
552600,25,22,2.3,10
553200,25,22,2.6,10
553800,25,22,3.4,10
554400,25,22,3.7,10
555000,25,22,2.6,10
555600,25,22,3.6,10
556200,25,22,3.1,10
556800,25,22,2.1,10
557400,25,22,1.9,10
558000,25,22,0.7,10
558600,25,22,1.1,10
559200,25,22,1.7,10
559800,25,22,0.3,10
560400,25,22,0.7,10
561000,25,22,1.9,10
561600,25,22,1.6,10
562200,25,22,1.7,10
562800,25,22,1.4,10
563400,25,22,0.2,10
564000,25,22,0.3,10
564600,25,22,0.2,10
565200,25,22,1.4,10
565800,25,22,1.2,10
566400,25,22,1,10
567000,25,22,0.3,10
567600,25,22,1,10
568200,25,22,1.2,10
568800,25,22,1.1,10
569400,25,22,1.8,10
570000,25,22,1.4,10
570600,25,22,2.2,10
571200,25,22,1.1,10
571800,25,22,0.6,10
572400,25,22,0.8,10
573000,25,22,1.2,10
573600,25,22,1.4,10
574200,25,22,1.2,10
574800,25,22,1,10
575400,25,22,0.3,10
576000,25,22,0.4,10
576600,25,22,0.1,10
577200,25,22,0.1,10
577800,25,22,1.3,10
578400,25,22,0.6,10
579000,25,22,0.4,10
579600,25,22,0.7,10
580200,25,22,0.1,10
580800,25,22,0.8,10
581400,25,22,3.2,10
582000,25,22,2.8,10
582600,25,22,1.9,10
583200,25,22,3.5,10
583800,25,22,3.8,10
584400,25,22,3.9,10
585000,25,22,2.9,10
585600,25,22,3.1,10
586200,25,22,3.9,10
586800,25,22,1.9,10
587400,25,22,2.3,10
588000,25,22,1.6,10
588600,25,22,1.9,10
589200,25,22,2.6,10
589800,25,22,2.4,10
590400,25,22,1.1,10
591000,25,22,1.5,10
591600,25,22,1.7,10
592200,25,22,0.2,10
592800,25,22,0.1,10
593400,25,22,1.5,10
594000,25,22,1.2,10
594600,25,22,0.1,10
595200,25,22,0.5,10
595800,25,22,1,10
596400,25,22,0.8,10
597000,25,22,2.9,10
597600,25,22,2,10
598200,25,22,2.7,10
598800,25,22,2.2,10
599400,25,22,3.1,10
600000,25,22,2.9,10
600600,25,22,2.1,10
601200,25,22,0.8,10
601800,25,22,1.1,10
602400,25,22,0.9,10
603000,25,22,1.3,10
603600,25,22,1.4,10
604200,25,22,0.1,10
604800,25,22,1.4,10
605400,25,22,0.8,10
606000,25,22,0.9,10
606600,25,22,1.5,10
607200,25,22,1.3,10
607800,25,22,1.3,10
608400,25,22,0.2,10
609000,25,22,0.7,10
609600,25,22,1,10
610200,25,22,1,10
610800,25,22,0.8,10
611400,25,22,1.4,10
612000,25,22,1.7,10
612600,25,22,3.6,10
613200,25,22,2,10
613800,25,22,2.3,10
614400,25,22,5.2,10
615000,25,22,5.3,10
615600,25,22,4.5,10
616200,25,22,5.1,10
616800,25,22,3.2,10
617400,25,22,2.8,10
618000,25,22,2.1,10
618600,25,22,1,10
619200,25,22,0.5,10
619800,25,22,1.3,10
620400,25,22,0.2,10
621000,25,22,0.9,10
621600,25,22,0.8,10
622200,25,22,1.5,10
622800,25,22,1.2,10
623400,25,22,1.6,10
624000,25,22,1.1,10
624600,25,22,0.5,10
625200,25,22,1.8,10
625800,25,22,2.2,10
626400,25,22,3.5,10
627000,25,22,1.2,10
627600,25,22,2.1,10
628200,25,22,1.8,10
628800,25,22,2.1,10
629400,25,22,4.4,10
630000,25,22,4.2,10
630600,25,22,3.7,10
631200,25,22,2.4,10
631800,25,22,3.7,10
632400,25,22,2.5,10
633000,25,22,2,10
633600,25,22,1.1,10
634200,25,22,0.9,10
634800,25,22,0.5,10
635400,25,22,0.6,10
636000,25,22,0.8,10
636600,25,22,0.5,10
637200,25,22,1.6,10
637800,25,22,1.2,10
638400,25,22,1.7,10
639000,25,22,1.2,10
639600,25,22,1.2,10
640200,25,22,1.6,10
640800,25,22,3.3,10
641400,25,22,2.9,10
642000,25,22,3.2,10
642600,25,22,3.5,10
643200,25,22,1.8,10
643800,25,22,1.3,10
644400,25,22,3.5,10
645000,25,22,3.4,10
645600,25,22,2.8,10
646200,25,22,2.4,10
646800,25,22,2.7,10
647400,25,22,4.2,10
648000,25,22,3.5,10
648600,25,22,3.9,10
649200,25,22,4.8,10
649800,25,22,5.4,10
650400,25,22,4.1,10
651000,25,22,4.3,10
651600,25,22,4.5,10
